date,state,county,zip,agency,agency_id,ori,type,population_policed,operating_budget,agency_type
2025-05-16 am,FLORIDA,Madison County,32340,madison county sheriff,636867,FL0400000,Task Force Model,18529,6273905,(001) Sheriff
2025-05-16 am,FLORIDA,Manatee County,34205,manatee county sheriff,636871,FL0410000,Warrant Service Officer,394855,131178285,(001) Sheriff
2025-05-16 am,FLORIDA,Manatee County,34205,manatee county sheriff,636871,FL0410000,Task Force Model,394855,131178285,(001) Sheriff
2025-05-16 am,FLORIDA,NA,34145,marco island police,636872,FL0110300,Task Force Model,17930,4503665,(003) Local Police
2025-05-16 am,FLORIDA,NA,32447,marianna police,636874,FL0320100,Task Force Model,7091,1372332,(003) Local Police
2025-05-16 am,FLORIDA,Marion County,34478,marion county sheriff,636875,FL0420000,Warrant Service Officer,359977,85529011,(001) Sheriff
2025-05-16 am,FLORIDA,Marion County,34478,marion county sheriff,636875,FL0420000,Task Force Model,359977,85529011,(001) Sheriff
2025-05-16 am,FLORIDA,Martin County,34994,martin county sheriff,636876,FL0430000,Warrant Service Officer,160912,63923840,(001) Sheriff
2025-05-16 am,FLORIDA,Martin County,34994,martin county sheriff,636876,FL0430000,Task Force Model,160912,63923840,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32951,melbourne beach police,636879,FL0050800,Task Force Model,3288,1088769,(003) Local Police
2025-05-16 am,FLORIDA,NA,32901,melbourne international airport police,636880,FL0051800,Task Force Model,NA,2000000,(631) Airports
2025-05-16 am,FLORIDA,Miami-Dade County,NA,miami dade corrections and rehabilitation,NA,NA,Warrant Service Officer,NA,NA,NA
2025-05-16 am,FLORIDA,Miami-Dade County,NA,miami dade sheriff,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,Monroe County,33040,monroe county sheriff,636900,FL0440000,Warrant Service Officer,75027,53548590,(001) Sheriff
2025-05-16 am,FLORIDA,Monroe County,33040,monroe county sheriff,636900,FL0440000,Task Force Model,75027,53548590,(001) Sheriff
2025-05-16 am,FLORIDA,NA,34102,naples police,636904,FL0110100,Task Force Model,22039,12445539,(003) Local Police
2025-05-16 am,FLORIDA,Nassau County,32097,nassau county sheriff,636905,FL0450000,Warrant Service Officer,85832,20842873,(001) Sheriff
2025-05-16 am,FLORIDA,Nassau County,32097,nassau county sheriff,636905,FL0450000,Task Force Model,85832,20842873,(001) Sheriff
2025-05-16 am,FLORIDA,NA,34243,new college of florida police,636907,FL0580700,Task Force Model,NA,1300000,(611) 4-year University/College
2025-05-16 am,FLORIDA,NA,34652,new port richey police,636908,FL0510200,Task Force Model,16494,7756840,(003) Local Police
2025-05-16 am,FLORIDA,NA,32168,new smyrna beach police,636909,FL0640300,Task Force Model,27229,6365561,(003) Local Police
2025-05-16 am,FLORIDA,NA,33141,north bay village police,636911,FL0131700,Task Force Model,8273,8796792,(003) Local Police
2025-05-16 am,FLORIDA,NA,NA,northwest florida state college police,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,34760,oakland police,636918,FL0480800,Task Force Model,3087,1199314,(003) Local Police
2025-05-16 am,FLORIDA,NA,NA,ocean ridge police,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,34761,ocoee police,636922,FL0480300,Task Force Model,47720,11177955,(003) Local Police
2025-05-16 am,FLORIDA,Okaloosa County,32579,okaloosa county sheriff,636924,FL0460000,Warrant Service Officer,207269,37652213,(001) Sheriff
